UTC:,2022-07-08 03:10:37.510589
Isrc:,840
time [s],data [mV]:
1657249837.512597,1409,1105,3731,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4029,
1657249837.512597,A
1657249837.5135956,1410,1106,3736,4035,4035,4035,4035,4035,4035,4034,4035,4034,4034,4034,4034,4034,
1657249837.5135956,A
1657249839.5265782,
1657249841.5312116,
1657249843.5364606,
1657249845.547395,
1657249847.5508556,
1657249849.4896977,1410,1106,3735,4034,4034,4035,4034,4035,4035,4034,4035,4034,4034,4034,4034,4034,
1657249849.4896977,A
1657249851.492095,
