UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
0.002993107,0,177,11660,,,,,,,,,,,,,,,
0.017484426,0,64910,9687,9006,8903,8653,8536,8433,8323,8617,8522,8500,8683,9548,9409,26792,7034,27724
0.032687187,0,64925,30180,11711,9313,8852,8654,8434,8353,8580,8536,8434,8631,9204,8690,9050,27496,7166
0.032687187,0,A,,,,,,,,,,,,,,,,
0.047581196,0,64940,4600,22841,12004,9335,8844,8573,8412,8632,8595,8522,8646,9064,8529,8587,9233,28266
0.061848402,0,64955,25223,6630,24571,12144,9240,8668,8360,8705,8558,8521,8617,8976,8397,8448,8499,9731
0.077169895,0,64970,10164,24886,6858,24116,12180,9343,8764,8954,8800,8654,8727,9248,8551,8558,8558,9416
0.091917515,0,64984,9189,10288,24571,6689,22606,11183,8976,8962,8844,8683,8742,9152,8448,8456,8426,9079
0.105158091,0,[0;31mE (65317) task_wdt: Task watchdog got triggered. The following tasks did not reset the watchdog in time:[0m,,,,,,,,,,,,,,,,
0.105158091,0,[0;31mE (65317) task_wdt:  - IDLE (CPU 0)[0m,,,,,,,,,,,,,,,,
0.105158091,0,[0;31mE (65317) task_wdt: Tasks currently running:[0m,,,,,,,,,,,,,,,,
0.121113062,0,[0;31mE (65317) task_wdt: CPU 0: main[0m,,,,,,,,,,,,,,,,
0.121113062,0,[0;31mE (65317) task_wdt: CPU 1: IDLE[0m,,,,,,,,,,,,,,,,
0.121113062,0,[0;31mE (65317) task_wdt: Print CPU 0 (current core) backtrace[0m,,,,,,,,,,,,,,,,
0.121113062,0,,,,,,,,,,,,,,,,,
0.121113062,0,,,,,,,,,,,,,,,,,
0.154792309,0,Backtrace:0x400D9DDB:0x3FFB0B800x40082749:0x3FFB0BA0 0x4000BFED:0x3FFB5BA0 0x4008881A:0x3FFB5BB0 0x40081F10:0x3FFB5BD0 0x40083215:0x3FFB5BF0 0x400D8EB6:0x3FFB5C10 0x400D8C61:0x3FFB5C30 0x400D8CD7:0x3FFB5C70 0x400D510C:0x3FFB5CA0 0x400E86FC:0x3FFB5EB0 0x40088569:0x3FFB5ED0 ,,,,,,,,,,,,,,,,
0.154792309,0,,,,,,,,,,,,,,,,,
0.154792309,0,[0;31mE (65317) task_wdt: Print CPU 1 backtrace[0m,,,,,,,,,,,,,,,,
0.154792309,0,,,,,,,,,,,,,,,,,
0.154792309,0,,,,,,,,,,,,,,,,,
0.176625729,0,Backtrace:0x40084949:0x3FFB11800x40082749:0x3FFB11A0 0x4000BFED:0x3FFB7430 0x4008881A:0x3FFB7440 0x400DA038:0x3FFB7460 0x400DA043:0x3FFB7490 0x400D1AF9:0x3FFB74B0 0x40087002:0x3FFB74D0 0x40088569:0x3FFB74F0 ,,,,,,,,,,,,,,,,
0.176625729,0,,,,,,,,,,,,,,,,,
0.184076786,0,65050,8734,9072,10267,23149,6520,20546,10677,9028,8844,8639,8661,8976,8382,8257,8323,8786
0.188190937,0,65088,8507,8741,9013,9416,20993,6418,18918,10685,9072,8785,8727,9086,8390,8390,8294,8807
0.204164743,0,65102,8514,8646,8756,8785,9299,19519,6227,19204,11183,9233,8903,9196,8492,8390,8346,8903
0.219794273,0,65117,8610,8595,8778,8698,8844,9328,19402,6095,19468,11058,9226,9467,8573,8360,8331,8808
0.235403538,0,65132,8617,8676,8749,8661,8727,8829,9607,20143,6300,21492,11286,9951,8749,8456,8360,8852
0.250703573,0,65147,8551,8551,8609,8507,8544,8558,8866,9783,22041,6498,24696,12737,8947,8441,8323,8837
